customer_id,age,monthly_income,tenure_years,plan_type,support_calls,signup_date,churn
1,46.0,,0.13,Basic,3,2024-11-14,0
2,38.3,23295.34,3.01,Standard,1,2021-01-15,0
3,47.8,45174.66,9.07,Basic,2,2023-09-14,0
4,58.3,57466.19,2.76,Basic,2,2021-04-23,1
5,37.2,33059.61,5.13,Standard,1,2020-01-15,1
6,37.2,44766.65,6.47,,2,2021-05-30,1
7,59.0,40970.13,0.78,Basic,2,2020-07-09,0
8,49.2,29410.14,0.71,Basic,2,2023-04-06,0
9,34.4,15000.0,2.83,Basic,2,2024-03-24,1
10,46.5,49176.93,1.59,Basic,2,2021-09-12,1
11,34.4,32786.12,5.5,Basic,1,2023-03-06,0
12,34.4,27084.32,6.91,Standard,1,2020-06-02,0
13,42.9,36562.59,1.31,Standard,5,2023-11-12,1
14,18.0,15000.0,0.81,Standard,3,2023-05-17,0
15,19.3,35006.8,4.55,Basic,3,2020-09-28,0
16,33.3,27635.81,0.96,Standard,1,2020-05-22,0
17,27.8,23151.98,5.19,Basic,2,2024-06-22,1
18,43.8,40822.91,1.65,Premium,7,2022-12-28,0
19,29.1,27131.04,3.3,Standard,2,2020-09-03,0
20,23.1,20232.96,0.3,Basic,2,2023-07-08,1
21,57.6,,2.93,Standard,3,2022-02-26,0
22,37.3,33604.29,1.8,,0,2020-03-19,0
23,40.8,47704.47,2.65,Standard,2,2024-08-08,0
24,22.9,29085.78,0.55,Basic,2,2021-09-14,1
25,33.5,39519.42,4.01,Basic,2,2024-11-28,1
26,41.3,28975.13,5.96,Premium,1,2024-06-16,0
27,26.2,15000.0,0.73,Basic,2,2021-06-08,0
28,44.5,34600.41,0.3,Standard,1,2022-02-10,0
29,32.8,26679.67,0.07,Basic,2,2022-07-26,0
30,36.5,37953.27,3.08,Standard,2,2024-07-02,0
31,32.8,15000.0,2.8,Standard,5,2023-09-15,1
32,62.2,,2.37,Standard,2,2023-04-27,1
33,39.8,30606.36,0.79,Basic,2,2023-01-23,0
34,27.3,18430.93,1.49,Basic,1,2021-09-08,0
35,49.9,31799.6,2.71,Basic,1,2022-10-28,0
36,25.3,15000.0,2.06,Basic,0,2020-03-07,0
37,42.5,40590.46,13.22,Standard,0,2024-02-28,0
38,18.0,15000.0,0.44,Premium,2,2020-07-09,0
39,24.1,15000.0,3.56,Premium,4,2023-10-21,1
40,42.4,23529.24,1.55,Standard,2,2022-02-06,0
41,48.9,36403.0,1.68,Standard,5,2021-06-04,0
42,42.1,46997.31,3.79,Standard,1,2022-09-16,0
43,38.6,28813.05,3.54,Basic,1,2023-02-14,0
44,36.4,17084.26,14.22,Premium,2,2020-09-23,0
45,22.3,15840.24,0.41,Standard,0,2024-06-22,0
46,31.4,22907.71,0.33,Standard,0,2021-04-29,1
47,34.5,15000.0,3.87,Basic,4,2024-03-12,0
48,52.7,41714.01,2.59,Basic,3,2023-08-14,1
49,44.1,33451.26,0.96,Basic,1,2023-04-02,0
50,18.8,20644.47,0.25,Premium,2,2021-01-10,1
51,43.9,49902.85,0.27,Standard,0,2021-10-14,1
52,35.4,37315.73,6.74,Basic,0,2023-07-15,0
53,31.9,23350.44,0.64,Premium,1,2021-07-02,0
54,47.3,29019.89,1.17,Basic,2,2023-01-02,1
55,52.4,62484.47,0.77,Basic,2,2024-03-11,1
56,51.2,41414.04,1.32,Basic,1,2020-03-13,0
57,29.9,24054.95,0.22,Standard,0,2020-11-03,0
58,36.3,28838.56,2.2,Premium,3,2020-07-17,0
59,44.0,36764.81,0.21,Basic,3,2023-02-27,1
60,51.7,40210.35,4.83,Premium,3,2024-11-16,0
61,34.2,22810.63,0.8,Basic,5,2021-07-25,1
62,37.8,25842.8,2.33,Premium,2,2022-03-01,0
63,26.7,21117.16,6.36,Standard,2,2024-06-26,0
64,25.6,16169.02,3.16,Standard,3,2024-02-19,0
65,49.8,34097.48,2.28,Basic,2,2023-03-20,0
66,56.3,45871.35,1.18,Premium,2,2024-08-19,0
67,39.1,29268.89,1.21,Standard,2,2023-05-14,0
68,52.0,53665.86,3.32,Basic,6,2020-06-27,1
69,44.3,15000.0,15.42,Standard,4,2020-07-15,0
70,32.3,34538.91,3.25,Basic,1,2022-01-04,0
71,44.3,45438.08,2.45,Premium,6,2020-03-29,1
72,58.5,30178.03,3.94,Basic,1,2022-03-09,0
73,39.6,28914.57,1.88,Standard,3,2023-12-28,1
74,58.8,44049.05,0.19,Standard,1,2022-02-26,1
75,18.0,15000.0,2.48,Basic,3,2022-01-17,0
76,49.9,33667.73,9.48,Basic,4,2023-04-21,0
77,41.0,23951.05,0.58,Basic,3,2020-07-27,0
78,36.4,43147.69,3.51,Basic,3,2021-05-07,1
79,41.1,40366.33,0.67,Basic,2,2023-02-27,0
80,18.0,24572.44,2.3,Standard,4,2021-10-26,0
81,37.4,35664.53,0.31,Basic,4,2022-11-02,1
82,44.3,26395.87,1.8,Basic,1,2024-07-15,0
83,57.7,41991.62,4.23,Standard,2,2022-05-20,0
84,33.8,30939.6,1.28,Basic,2,2022-01-01,0
85,30.3,15000.0,3.28,Premium,2,2023-02-03,0
86,34.0,32887.12,4.76,Premium,2,2023-10-30,0
87,51.0,38865.26,7.86,Standard,2,2024-05-24,0
88,43.9,32157.44,0.8,Standard,4,2024-09-26,1
89,33.6,32601.98,1.53,Premium,1,2021-11-28,1
90,46.2,40481.47,0.5,Basic,1,2023-01-27,1
91,41.2,30044.22,14.67,Basic,1,2021-08-16,0
92,51.6,50573.63,7.85,Basic,2,2024-05-29,0
93,31.6,16611.78,2.33,Standard,1,2022-06-04,0
94,36.1,33781.93,5.54,Basic,1,2022-05-01,1
95,35.3,,2.21,,3,2023-04-30,1
96,22.4,15473.88,2.93,Premium,2,2020-11-20,0
97,43.6,37451.82,0.28,Premium,1,2022-09-05,0
98,43.1,,4.22,Standard,1,2024-10-15,1
99,40.1,39441.31,0.41,Basic,3,2022-08-13,1
100,37.2,28268.75,5.25,Standard,0,2024-01-30,0
